Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
XW4s7rrrMwaZoxjYs,Skywalker X CNC- LR,Concentrate,2017-08-31,2017-08-31,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.23,0.05,0.0,0.15,0.02,0.52,0.61,0.0,0.05,1.19,0.0,0.0,,1.36,0.01,81.95,0.01,0.01,1.02,0.01,,,3.21,0.37,0.01,,skywalker-x-cnc-lr
XYLEbbwEapfLohwZS,ASD02025CWAX,Concentrate,2018-02-09,2018-02-09,12.0,0.0,0.19,,,,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.34,0.0,0.0,0.1,0.46,0.0,0.0,1.16,0.05,0.0,0.05,0.1,0.0,0.0,,79.28,0.01,0.2,0.39,0.14,0.01,0.01,,,0.27,1.61,0.78,,asd02025cwax
XZA73tr49zkmeSCLd,Goji Skunk-011918-LRB,Concentrate,2018-01-26,2018-01-26,,0.0,0.0,,,,0.06,0.09,0.0,0.0,0.0,0.07,0.0,0.23,0.0,0.54,0.07,0.16,0.17,0.08,0.25,0.57,0.34,0.08,0.81,0.06,0.0,,1.64,0.01,86.51,0.01,0.01,0.96,0.01,,,3.16,0.6,0.01,,goji-skunk-011918-lrb
XZLNtoBf7ZmYygzAZ,Lemon Punch-LRB,Concentrate,2017-06-12,2017-06-12,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.44,0.04,0.16,0.26,0.06,0.57,0.21,0.28,0.02,0.42,0.01,0.0,,1.38,0.01,88.17,0.01,0.06,0.01,0.01,,,6.22,0.63,0.01,,lemon-punch-lrb
XaaaeStBdZfBPFmJ7,020918-01-Passion Flower-SCE,Concentrate,2018-03-12,2018-03-12,,0.0,0.0,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.15,0.17,0.46,0.26,0.1,0.9,7.48,2.04,0.27,2.78,0.08,0.0,,6.96,0.01,52.58,0.01,0.01,1.08,0.01,,,2.87,0.57,0.07,,020918-01-passion-flower-sce
XbRJFBZ6zLFycxtBZ,1,Concentrate,2017-10-26,2017-10-26,27.0,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.05,0.21,0.05,0.0,0.61,1.19,0.02,0.02,0.16,0.0,0.0,,2.27,0.01,78.48,0.01,0.01,0.68,0.01,,,4.61,0.58,0.66,,1
XcqwKTS7Twu9qus7W,Star Tonic Oil,Concentrate,2016-07-11,2016-07-12,84.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.1,0.0,0.0,0.19,0.18,0.11,0.0,0.53,0.27,0.0,0.05,0.06,0.0,0.0,,32.5,,,0.24,0.48,,45.6,,,,1.73,3.73,,star-tonic-oil
XfA9i6EPwTvEvv3LS,Sour Lemon Haze,Concentrate,2017-03-23,2017-03-25,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.65,0.04,0.2,0.13,0.03,0.49,0.77,0.1,0.0,0.69,0.0,0.0,,55.5,,,0.33,0.2,,0.4,,,,5.39,0.53,,sour-lemon-haze
XfFDfwTshWGafPWzP,Crumble,Concentrate,2016-01-05,2016-01-07,100.0,,,0.0,0.0,,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.69,0.0,0.05,0.14,0.13,0.1,0.18,0.06,0.05,0.13,0.11,0.07,,65.2,,,0.2,0.12,,0.02,,,,2.4,0.46,,crumble
XfH922wGi6pABa9Jh,L1,Concentrate,2017-09-27,2017-09-27,60.0,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.03,0.07,0.13,0.12,0.0,0.38,0.47,0.02,0.05,0.54,0.0,0.0,,1.61,0.01,94.97,0.01,0.01,0.01,0.01,,,2.01,0.2,0.01,,l1
XhPyckNzcBbsJrn8j,Solution 1:1,Concentrate,2017-04-04,2017-04-06,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.61,0.0,0.0,0.0,0.0,13.31,0.0,0.0,0.0,,32.0,,,0.2,0.41,,0.26,,,,2.16,0.43,,solution-11
XkeiRWR8npfyDRu7u,Super Lemon Haze - LRB,Concentrate,2016-11-15,2016-11-17,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.71,0.03,0.26,0.09,0.1,0.73,0.33,0.49,0.0,0.34,0.02,0.0,,64.2,,,0.51,0.24,,0.43,,,,7.66,0.65,,super-lemon-haze-lrb
