strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
12-17-15-05,,,,,,,,0.0,,,,,0.0,,0.0,,0.48,0.0,,0.16,1.21,,0.0,0.0,,,54.66,8.03,,,,0.05,0.16,0.39,,,2.6,,0.22,,1,0,0
12-indica-blend-joint,,,,,,,,0.46,,,,,1.98,,0.0,,0.08,0.53,,0.37,0.0,,0.0,0.0,,,10.82,0.82,,,,,0.16,0.08,,,0.48,,0.12,,1,0,0
12-tuna-kush-shatter,,,,,,,,0.99,,,,,4.81,,0.0,,3.65,0.0,,0.9,0.82,,0.0,0.0,,,52.55,3.06,,,,,0.57,,,,1.92,,0.23,,1,0,0
120-220-full-melt,,,,,,,,0.0,,,,,5.79,,0.0,,0.6,4.14,,1.37,1.66,,0.0,0.0,,,30.45,2.2,,,,,4.89,0.34,,,1.22,,0.31,,1,0,0
121-jigawatts-sg-sat,,,,,,0.056,0.006,0.006999999999999999,0.006999999999999999,0.002,0.091,0.015,0.029,0.182,1.334,0.006999999999999999,0.055,0.096,0.036000000000000004,0.14300000000000002,0.532,,0.17,0.277,0.018000000000000002,0.002,,0.49,0.0,18.44,0.0,0.0,0.05,0.0,0.0,0.03,0.34,0.04,0.0,,0,0,1
121-jiggawatts-id-sat,,,,,,0.052000000000000005,0.006,0.01,0.008,0.003,0.145,0.013,0.059,0.087,1.182,0.049,0.126,0.098,0.035,0.317,0.7,,0.177,0.28,0.021,0.002,,0.81,0.0,22.75,0.0,0.0,0.06,0.0,0.0,0.0,0.56,0.1,0.0,,0,0,1
122717-star-dawg,,,,,,0.0,0.015,0.03,0.0,0.015,0.003,0.0,0.035,0.002,0.008,0.099,0.3,0.052000000000000005,0.0,0.8590000000000001,0.25,,0.105,0.716,0.0,0.0,,0.53,0.0,27.49,0.0,0.0,0.04,0.0,0.0,0.0,1.57,0.15,0.0,,0,0,1
122817-bk-47,,,,,,0.0,0.008,0.039,0.001,0.0,0.142,0.001,0.065,0.032,0.004,0.037000000000000005,0.142,0.342,0.0,0.458,1.2009999999999998,,0.16699999999999998,0.108,0.0,0.0,,0.84,0.0,21.76,0.02,0.0,0.07,0.0,0.0,0.0,0.58,0.08,0.02,,0,0,1
122817maximus,,,,,,0.0,0.009000000000000001,0.043,0.002,0.002,0.125,0.0,0.133,0.002,0.004,0.068,0.251,0.042,0.0,0.821,0.5670000000000001,,0.068,0.382,0.0,0.0,,0.49,0.0,20.35,0.0,0.0,0.11,0.0,0.0,0.0,1.01,0.08,0.0,,0,0,1
122917-lemon-sugar,,,,,,0.0,0.012,0.04,0.0,0.001,0.002,0.0,0.07,0.006999999999999999,0.008,0.066,0.22,0.451,0.0,0.6559999999999999,1.419,,0.23,0.284,0.0,0.0,,0.72,0.0,13.68,0.0,0.0,0.03,0.0,0.0,0.0,0.23,0.07,0.0,,0,0,1
1234c,,,,,,,,0.0,,,,,1.31,,0.62,,0.32,0.0,,0.58,0.0,,0.0,0.0,,,18.51,0.64,,,,,0.08,0.13,,,1.68,,,,1,0,0
123a,,,,,,,,0.0,,,,,0.83,,0.0,,0.37,0.0,,0.91,0.27,,0.0,0.0,,,11.32,0.5,,,,,0.04,0.06,,,0.06,,0.04,,1,0,0
12715,,,,,,,,0.0,,,,,0.0,,0.0,,0.75,0.0,,0.0,2.42,,0.0,0.0,,,,47.07,,,,2.04,,4.21,,,0.15,,0.79,,1,0,0
12800n,,,,,,,,0.48,,,,,2.61,,0.13,,0.46,0.91,,0.14,1.12,,0.0,3.14,,,13.07,0.78,,,,,0.19,0.1,,,0.21,,0.05,,1,0,0
12th-man,,,,,,,,0.29,,,,,1.08,,0.06,,0.805,0.665,,0.46,0.095,,0.0,0.0,,,21.01,0.51,,,,,0.18,0.21500000000000002,,,0.43000000000000005,,0.05,,2,0,0
12th-man-haze,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42,0.07,,,,0.13,,,,,,0.05,,,1,0,0
