index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
287,blue-frost,hybrid,4.5,"uplifted,happy,relaxed,euphoric,creative","blueberry,cheese,menthol",blue frost is a hybrid that balances the genetics of blue monster and jack frost to create a 60/40 indica-dominant cross. breeder goldenseed has developed this strain to produce dense buds that show a range of deep violet hues and produces a pungent mixture of aromas. the flavor is an interesting combination of sweet fruity notes with a sharp cheese-like undertone. this hybrid is sure to lift your mood and replace any stress you may have with smile on your face.,"blue-frost hybrid uplifted,happy,relaxed,euphoric,creative blueberry,cheese,menthol blue frost is a hybrid that balances the genetics of blue monster and jack frost to create a 60/40 indica-dominant cross. breeder goldenseed has developed this strain to produce dense buds that show a range of deep violet hues and produces a pungent mixture of aromas. the flavor is an interesting combination of sweet fruity notes with a sharp cheese-like undertone. this hybrid is sure to lift your mood and replace any stress you may have with smile on your face."
288,blue-galaxy,hybrid,4.7,"relaxed,happy,talkative,creative,energetic","berry,earthy,blueberry","blue galaxy is a classic combo of middle eastern genetics bred for their potency and resin production. with afghani and hashplant haze parentage, this strain imbues the consumer with a metric ton of muscular weight and a hazy but pleasant mental state. anticipate earthy aromas with latent sweetness. blue galaxy is ideal for combating insomnia, chronic pain, and nausea. ","blue-galaxy hybrid relaxed,happy,talkative,creative,energetic berry,earthy,blueberry blue galaxy is a classic combo of middle eastern genetics bred for their potency and resin production. with afghani and hashplant haze parentage, this strain imbues the consumer with a metric ton of muscular weight and a hazy but pleasant mental state. anticipate earthy aromas with latent sweetness. blue galaxy is ideal for combating insomnia, chronic pain, and nausea. "
289,blue-god,indica,4.7,"relaxed,happy,sleepy,euphoric,hungry","berry,sweet,blueberry","blue god, bred by jordan of the islands in canada, is a powerful indica mothered by god bud and blueberry. fulfilling all of our indica expectations, blue god produces crushing full-body effects ideal for nighttime treatment of pain and sleep disorders. with age, blue god develops a sweet berry aroma and deep purple leaves freckled in frosty resin. cultivators of this stout indica suggest growing blue god as a multi-branch plant in soil, with a flowering period between 55 and 60 days.","blue-god indica relaxed,happy,sleepy,euphoric,hungry berry,sweet,blueberry blue god, bred by jordan of the islands in canada, is a powerful indica mothered by god bud and blueberry. fulfilling all of our indica expectations, blue god produces crushing full-body effects ideal for nighttime treatment of pain and sleep disorders. with age, blue god develops a sweet berry aroma and deep purple leaves freckled in frosty resin. cultivators of this stout indica suggest growing blue god as a multi-branch plant in soil, with a flowering period between 55 and 60 days."
290,blue-goo,hybrid,4.1,"happy,uplifted,creative,energetic,talkative","berry,skunk,pine","blue goo is a sativa-dominant hybrid that's a cross between the famous hybrid blue dream and indica afgoo. a moderate to high potency yields uplifting effects that are standard for sativas, but not excessively energetic thanks to afgoo’s contribution as well as the mellow nature of blue dream. this strain is appropriate for day or nighttime consumption and is good for treating depression and nausea. smooth smoke and berry taste.","blue-goo hybrid happy,uplifted,creative,energetic,talkative berry,skunk,pine blue goo is a sativa-dominant hybrid that's a cross between the famous hybrid blue dream and indica afgoo. a moderate to high potency yields uplifting effects that are standard for sativas, but not excessively energetic thanks to afgoo’s contribution as well as the mellow nature of blue dream. this strain is appropriate for day or nighttime consumption and is good for treating depression and nausea. smooth smoke and berry taste."
291,blue-hash,hybrid,4.4,"relaxed,happy,euphoric,sleepy,uplifted","sweet,blueberry,earthy","the colorful hues and sweet flavors of blueberry blend together with the resin production and heartiness of california hash plant to create blue hash, or blueberry hash. the aroma is a mixture of fresh berries with a pungent, earthy finish. blue hash produces a powerfully relaxing effect that is a great way to unwind at the end of a long day or at night before bedtime. medical patients will appreciate blue hash’s ability to combat insomnia and suppress stress.","blue-hash hybrid relaxed,happy,euphoric,sleepy,uplifted sweet,blueberry,earthy the colorful hues and sweet flavors of blueberry blend together with the resin production and heartiness of california hash plant to create blue hash, or blueberry hash. the aroma is a mixture of fresh berries with a pungent, earthy finish. blue hash produces a powerfully relaxing effect that is a great way to unwind at the end of a long day or at night before bedtime. medical patients will appreciate blue hash’s ability to combat insomnia and suppress stress."
292,blue-hawaiian,hybrid,4.3,"happy,uplifted,relaxed,euphoric,energetic","citrus,earthy,sweet","the blue hawaiian strain is known for being quite a looker; its light green to orange buds are covered in rich orange and red hairs and are coated with sparkly trichomes throughout. bred from blueberry and hawaiian sativa, blue hawaiian is fruity and smooth. flowers appear at  about ten weeks and are described as giving a balanced high that has equal parts of its relaxing indica and uplifting sativa effects.","blue-hawaiian hybrid happy,uplifted,relaxed,euphoric,energetic citrus,earthy,sweet the blue hawaiian strain is known for being quite a looker; its light green to orange buds are covered in rich orange and red hairs and are coated with sparkly trichomes throughout. bred from blueberry and hawaiian sativa, blue hawaiian is fruity and smooth. flowers appear at  about ten weeks and are described as giving a balanced high that has equal parts of its relaxing indica and uplifting sativa effects."
293,blue-haze,hybrid,4.3,"uplifted,euphoric,relaxed,happy,energetic","blueberry,sweet,flowery","daughter of a blueberry indica and the original haze, this slightly sativa-dominant hybrid is a versatile strain. it has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. blue haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects.","blue-haze hybrid uplifted,euphoric,relaxed,happy,energetic blueberry,sweet,flowery daughter of a blueberry indica and the original haze, this slightly sativa-dominant hybrid is a versatile strain. it has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. blue haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects."
294,blue-heron,hybrid,4.7,"relaxed,sleepy,talkative,happy,uplifted","woody,spicy/herbal,pine","blue heron is an indica-dominant hybrid bred by dynasty seeds that brings euphoric flight to both mind and body. parented by blue magoo and huckleberry, blue heron takes after its blue magoo mother in its structure and blueberry, rose, and citrus aroma. between 8 and 9 weeks of flowering, blue heron buds finish with dark, deep hues of blue and green.","blue-heron hybrid relaxed,sleepy,talkative,happy,uplifted woody,spicy/herbal,pine blue heron is an indica-dominant hybrid bred by dynasty seeds that brings euphoric flight to both mind and body. parented by blue magoo and huckleberry, blue heron takes after its blue magoo mother in its structure and blueberry, rose, and citrus aroma. between 8 and 9 weeks of flowering, blue heron buds finish with dark, deep hues of blue and green."
295,blue-ivy,hybrid,4.4,"relaxed,focused,hungry,happy,talkative","earthy,pepper,blueberry","you may have 99 problems but blue ivy ain’t one. named after the newborn child of musicians jay-z and beyonce, this hybrid's effects are clearly indica-dominant and of impressive potency, with favorable blueberry undertones. ","blue-ivy hybrid relaxed,focused,hungry,happy,talkative earthy,pepper,blueberry you may have 99 problems but blue ivy ain’t one. named after the newborn child of musicians jay-z and beyonce, this hybrid's effects are clearly indica-dominant and of impressive potency, with favorable blueberry undertones. "
296,blue-jay-way,hybrid,4.5,"relaxed,uplifted,focused,sleepy,euphoric","sweet,citrus,blueberry","blue jay way by matrix nv is the hybrid cross of true blueberry and og kush. this fruity combination incorporates the best of blueberry’s sweet relaxation with og kush’s well-known sedation to create a strain that is fun and euphoric while offering medicinal benefits for patients suffering from nausea, restlessness, and chronic pain. it exhibits a bright blueberry aroma with notes of skunk, citrus, and earth.   ","blue-jay-way hybrid relaxed,uplifted,focused,sleepy,euphoric sweet,citrus,blueberry blue jay way by matrix nv is the hybrid cross of true blueberry and og kush. this fruity combination incorporates the best of blueberry’s sweet relaxation with og kush’s well-known sedation to create a strain that is fun and euphoric while offering medicinal benefits for patients suffering from nausea, restlessness, and chronic pain. it exhibits a bright blueberry aroma with notes of skunk, citrus, and earth.   "
297,blue-kiss,hybrid,4.7,"relaxed,talkative,creative,euphoric,focused","sweet,berry,blueberry","dj short blueberry and mistress og come together to form the potent indica-dominant hybrid strain known as blue kiss. seductive and sweet, blue kiss elicits relaxation and anti-anxiety effects that are easy on the mind and calm on the body. mistress og may have semi-sedative overtones, but its blue dream parentage still offers a tangible euphoria that crests as the sedation fades.   ","blue-kiss hybrid relaxed,talkative,creative,euphoric,focused sweet,berry,blueberry dj short blueberry and mistress og come together to form the potent indica-dominant hybrid strain known as blue kiss. seductive and sweet, blue kiss elicits relaxation and anti-anxiety effects that are easy on the mind and calm on the body. mistress og may have semi-sedative overtones, but its blue dream parentage still offers a tangible euphoria that crests as the sedation fades.   "
298,blue-knight,indica,4.7,"relaxed,uplifted,hungry,happy,focused","berry,blueberry,sweet","blue knight is a rare indica-dominant strain with a noble lineage that stems from blueberry and kryptonite genetics. hues of royal purple twist with deep blues and vivid greens in a visual display as multifaceted as its berry, vanilla aroma. earthy, woody, and blueberry flavors are unleashed on the exhale, and the relaxing full-body effects that follow are often enough to soothe pain and stimulate the appetite.  ","blue-knight indica relaxed,uplifted,hungry,happy,focused berry,blueberry,sweet blue knight is a rare indica-dominant strain with a noble lineage that stems from blueberry and kryptonite genetics. hues of royal purple twist with deep blues and vivid greens in a visual display as multifaceted as its berry, vanilla aroma. earthy, woody, and blueberry flavors are unleashed on the exhale, and the relaxing full-body effects that follow are often enough to soothe pain and stimulate the appetite.  "
299,blue-kripple,indica,3.4,"sleepy,euphoric,hungry,relaxed,tingly","earthy,grape","blue kripple is an indica-dominant hybrid bred by dr. krippling. this strain brings together the relaxing, therapeutic properties of medicine man and blue rhino, while the influence of big bud enhances blue kripple with dense, oversized colas and large yields. the calming indica effects cradle you with full-body relaxation and encourage nighttime use for stress, pain, and insomnia.","blue-kripple indica sleepy,euphoric,hungry,relaxed,tingly earthy,grape blue kripple is an indica-dominant hybrid bred by dr. krippling. this strain brings together the relaxing, therapeutic properties of medicine man and blue rhino, while the influence of big bud enhances blue kripple with dense, oversized colas and large yields. the calming indica effects cradle you with full-body relaxation and encourage nighttime use for stress, pain, and insomnia."
300,blue-kush,hybrid,4.5,"relaxed,uplifted,euphoric,creative,hungry","blueberry,pine,lemon","blue kush, a sativa-dominant hybrid, combines the sweet berry flavors of blueberry with the powerful and pungent og kush. with hints of pine, lemon, and berries, dinafem seeds has created a treat for all of the senses. the effects are reported as cerebral, uplifting, and will leave you feeling anything but blue.","blue-kush hybrid relaxed,uplifted,euphoric,creative,hungry blueberry,pine,lemon blue kush, a sativa-dominant hybrid, combines the sweet berry flavors of blueberry with the powerful and pungent og kush. with hints of pine, lemon, and berries, dinafem seeds has created a treat for all of the senses. the effects are reported as cerebral, uplifting, and will leave you feeling anything but blue."
301,blue-lights,indica,4.5,"relaxed,euphoric,happy,tingly,uplifted","blueberry,earthy,berry","the fusion of blueberry and northern lights, blue lights is an indica strain with a noteworthy thc content. this flower emits a blueberry pungency thanks to the blueberry influence, and provides a combination of sedative and euphoric long-lasting effects. although fitting for day or nighttime use, this strain may be the perfect choice for end of the day stress and/or pain relief.","blue-lights indica relaxed,euphoric,happy,tingly,uplifted blueberry,earthy,berry the fusion of blueberry and northern lights, blue lights is an indica strain with a noteworthy thc content. this flower emits a blueberry pungency thanks to the blueberry influence, and provides a combination of sedative and euphoric long-lasting effects. although fitting for day or nighttime use, this strain may be the perfect choice for end of the day stress and/or pain relief."
302,blue-magic,sativa,4.6,"relaxed,focused,aroused,sleepy,euphoric","citrus,lemon,tropical","blue magic is an upbeat sativa-dominant strain bred from the famous blue dream. its high-energy effects are prefaced by creamy, fruity flavors reminiscent of its blueberry ancestry. sativa enthusiasts will appreciate the balance of potency and clarity delivered by blue magic, whose euphoria offers functionality and focus despite an impressive thc profile. while its initial punch is quick to hit, blue magic’s effects taper down gently and ease you into long-lasting relaxation that extends from the physical exterior to the deep recesses of your mind.","blue-magic sativa relaxed,focused,aroused,sleepy,euphoric citrus,lemon,tropical blue magic is an upbeat sativa-dominant strain bred from the famous blue dream. its high-energy effects are prefaced by creamy, fruity flavors reminiscent of its blueberry ancestry. sativa enthusiasts will appreciate the balance of potency and clarity delivered by blue magic, whose euphoria offers functionality and focus despite an impressive thc profile. while its initial punch is quick to hit, blue magic’s effects taper down gently and ease you into long-lasting relaxation that extends from the physical exterior to the deep recesses of your mind."
303,blue-magoo,hybrid,4.5,"relaxed,happy,uplifted,euphoric,giggly","earthy,sweet,pungent","blue magoo, not to be confused with its lookalike blue goo, is a clone-only hybrid cross between dj short blueberry and major league bud (also known as william’s wonder f2). a fusion of berry, fruit, and other floral notes make up the aroma and taste of blue magoo, resulting in a palate as colorful as its pastel purple and green buds. blue magoo is a favorite among patients as it combats a variety of symptoms including pain, nausea, insomnia, anxiety, and appetite loss. this strain delivers a slight sativa kick that helps alleviate the heavy weight of blue magoo’s indica effects.","blue-magoo hybrid relaxed,happy,uplifted,euphoric,giggly earthy,sweet,pungent blue magoo, not to be confused with its lookalike blue goo, is a clone-only hybrid cross between dj short blueberry and major league bud (also known as william’s wonder f2). a fusion of berry, fruit, and other floral notes make up the aroma and taste of blue magoo, resulting in a palate as colorful as its pastel purple and green buds. blue magoo is a favorite among patients as it combats a variety of symptoms including pain, nausea, insomnia, anxiety, and appetite loss. this strain delivers a slight sativa kick that helps alleviate the heavy weight of blue magoo’s indica effects."
